model,event_id,market_id,model_prob_yes,yes_ask,no_ask,outcome,platform
Gemini 3.1 Pro (Variant A),E2579,M04759,0.83,91.0,10.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2595,M04791,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5606,M10769,0.25,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5630,M10793,0.5,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2573,M04747,0.62,61.0,40.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5576,M10739,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5447,M10610,0.83,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5401,M10564,0.04,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5623,M10786,0.1,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5554,M10717,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5515,M10678,0.04,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5357,M10520,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5555,M10718,0.34,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5529,M10692,0.15,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5377,M10540,0.11,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5402,M10565,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5444,M10607,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5594,M10757,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5347,M10510,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5343,M10506,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5531,M10694,0.72,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5624,M10787,0.43,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5532,M10695,0.6,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5454,M10617,0.05,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5579,M10742,0.76,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5533,M10696,0.97,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5581,M10744,0.32,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5534,M10697,0.26,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5452,M10615,0.48,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5453,M10616,0.57,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5625,M10788,0.11,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5345,M10508,0.64,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5560,M10723,0.28,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5539,M10702,0.1,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5400,M10563,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5455,M10618,0.45,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5450,M10613,0.12,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5448,M10611,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5359,M10522,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5346,M10509,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5375,M10538,0.16,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5349,M10512,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5451,M10614,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5364,M10527,0.1,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5541,M10704,0.08,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5561,M10724,0.99,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5542,M10705,0.67,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5369,M10532,0.05,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5562,M10725,0.84,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5351,M10514,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5543,M10706,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5564,M10727,0.85,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5445,M10608,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5492,M10655,0.14,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5378,M10541,0.07,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5493,M10656,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5544,M10707,0.98,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5449,M10612,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5419,M10582,0.82,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5446,M10609,0.33,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5507,M10670,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5571,M10734,0.47,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5547,M10710,0.05,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5403,M10566,0.28,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5548,M10711,0.53,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5508,M10671,0.06,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5379,M10542,0.67,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5549,M10712,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5404,M10567,0.09,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5589,M10752,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5360,M10523,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5590,M10753,0.58,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5361,M10524,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5552,M10715,0.05,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5370,M10533,0.42,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2557,M04715,0.91,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5627,M10790,0.85,90.0,17.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2599,M04799,0.36,46.0,70.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2571,M04743,0.04,0.5599999999999999,98.8,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2567,M04735,0.85,77.0,23.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5600,M10763,0.83,88.0,13.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5619,M10782,0.07,52.0,53.459999999999994,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5620,M10783,0.12,27.0,75.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E3245,M06111,0.12,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2561,M04723,0.9,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2583,M04767,0.38,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5615,M10778,0.78,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2586,M04773,0.04,39.0,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2572,M04745,0.79,74.0,39.96,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2581,M04763,0.39,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2578,M04757,0.25,39.0,63.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2559,M04719,0.49,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5524,M10687,0.69,74.0,32.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2587,M04775,0.18,45.97,64.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2580,M04761,0.82,83.0,28.000000000000004,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5621,M10784,0.88,89.8,88.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2584,M04769,0.62,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2588,M04777,0.05,8.0,94.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2576,M04753,0.07,11.69,96.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2570,M04741,0.84,67.0,44.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2589,M04779,0.07,16.0,81.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2591,M04783,0.25,35.0,67.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5617,M10780,0.08,6.0,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2574,M04749,0.68,57.99999999999999,56.00000000000001,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5629,M10792,0.71,62.0,44.51,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2594,M04789,0.03,3.0,98.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5575,M10738,0.3,26.1,85.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2582,M04765,0.88,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5611,M10774,0.68,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E0555,M01031,0.08,8.0,93.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2577,M04755,0.78,64.0,66.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5631,M10794,0.54,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2590,M04781,0.42,44.0,57.99999999999999,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2575,M04751,0.1,19.0,81.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2579,M04759,0.88,90.0,11.14,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2595,M04791,0.07,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2573,M04747,0.64,56.00000000000001,47.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5576,M10739,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5447,M10610,0.13,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5401,M10564,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5623,M10786,0.08,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5554,M10717,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5357,M10520,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5555,M10718,0.42,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5529,M10692,0.23,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5377,M10540,0.14,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5402,M10565,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5444,M10607,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5594,M10757,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5347,M10510,0.004,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5343,M10506,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5531,M10694,0.35,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5624,M10787,0.39,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5532,M10695,0.62,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5454,M10617,0.06,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5579,M10742,0.76,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5533,M10696,0.94,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5581,M10744,0.2,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5534,M10697,0.26,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5452,M10615,0.36,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5453,M10616,0.51,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5625,M10788,0.09,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5345,M10508,0.62,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5560,M10723,0.18,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5539,M10702,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5400,M10563,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5455,M10618,0.1,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5450,M10613,0.13,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5448,M10611,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5359,M10522,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5346,M10509,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5375,M10538,0.13,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5349,M10512,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5451,M10614,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5364,M10527,0.09,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5541,M10704,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5561,M10724,0.99,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5542,M10705,0.64,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5562,M10725,0.89,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5351,M10514,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5543,M10706,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5564,M10727,0.76,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5445,M10608,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5492,M10655,0.08,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5378,M10541,0.07,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5493,M10656,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5544,M10707,0.98,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5449,M10612,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5419,M10582,0.76,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5446,M10609,0.33,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5507,M10670,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5571,M10734,0.52,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5547,M10710,0.98,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5403,M10566,0.25,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5548,M10711,0.52,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5508,M10671,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5379,M10542,0.78,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5549,M10712,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5404,M10567,0.11,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5589,M10752,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5360,M10523,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5590,M10753,0.57,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5361,M10524,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5552,M10715,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5370,M10533,0.32,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5627,M10790,0.82,93.0,9.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2599,M04799,0.14,46.0,70.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2567,M04735,0.76,91.0,13.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5600,M10763,0.73,90.0,13.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5619,M10782,0.17,45.85,50.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5620,M10783,0.28,26.0,77.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E3245,M06111,0.1,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2583,M04767,0.51,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5615,M10778,0.46,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2586,M04773,0.03,39.0,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2572,M04745,0.79,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2581,M04763,0.51,35.0,79.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2578,M04757,0.28,40.0,62.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5524,M10687,0.7,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2587,M04775,0.32,29.29,72.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5621,M10784,0.97,98.2,58.4,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2584,M04769,0.56,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2588,M04777,0.06,6.0,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2576,M04753,0.06,11.69,94.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2570,M04741,0.55,74.0,28.000000000000004,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2589,M04779,0.08,16.0,81.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2591,M04783,0.32,28.999999999999996,73.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5617,M10780,0.09,2.0,98.67,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2574,M04749,0.68,48.0,55.54,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5629,M10792,0.68,73.0,35.510000000000005,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5632,M10795,0.09,40.08,88.17,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2594,M04789,0.03,3.5000000000000004,96.9,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5575,M10738,0.14,26.1,92.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2582,M04765,0.84,70.0,34.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2600,M04801,0.95,96.57,12.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5611,M10774,0.78,81.0,30.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E0555,M01031,0.09,7.000000000000001,93.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2577,M04755,0.76,60.0,48.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2592,M04785,0.06,8.18,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2590,M04781,0.43,44.0,57.99999999999999,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2575,M04751,0.48,47.0,54.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2579,M04759,0.82,87.0,14.000000000000002,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2595,M04791,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2573,M04747,0.32,78.0,29.92,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5447,M10610,0.18,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5401,M10564,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5554,M10717,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5357,M10520,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5555,M10718,0.52,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5529,M10692,0.22,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5402,M10565,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5444,M10607,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5594,M10757,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5347,M10510,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5343,M10506,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5531,M10694,0.22,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5624,M10787,0.28,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5532,M10695,0.63,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5454,M10617,0.05,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5533,M10696,0.98,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5581,M10744,0.06,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5534,M10697,0.05,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5452,M10615,0.44,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5453,M10616,0.53,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5625,M10788,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5345,M10508,0.46,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5560,M10723,0.15,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5400,M10563,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5455,M10618,0.04,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5450,M10613,0.21,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5448,M10611,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5359,M10522,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5346,M10509,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5375,M10538,0.09,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5349,M10512,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5364,M10527,0.13,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5561,M10724,0.99,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5542,M10705,0.6,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5369,M10532,0.04,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5562,M10725,0.86,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5351,M10514,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5543,M10706,0.03,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5564,M10727,0.42,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5445,M10608,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5492,M10655,0.12,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5378,M10541,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5493,M10656,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5544,M10707,0.99,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5449,M10612,0.001,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5419,M10582,0.79,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5446,M10609,0.21,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5507,M10670,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5571,M10734,0.43,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5403,M10566,0.15,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5548,M10711,0.61,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5508,M10671,0.02,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5379,M10542,0.91,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5633,M10796,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5404,M10567,0.12,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5589,M10752,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5360,M10523,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5590,M10753,0.53,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5361,M10524,0.01,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5370,M10533,0.32,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5627,M10790,0.82,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2599,M04799,0.32,46.0,70.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2567,M04735,0.76,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5600,M10763,0.85,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5619,M10782,0.64,43.81,56.99999999999999,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5620,M10783,0.28,22.0,77.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E3245,M06111,0.07,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2583,M04767,0.46,47.0,64.83,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5634,M10797,0.5,,,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5615,M10778,0.68,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2586,M04773,0.03,39.0,95.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2581,M04763,0.39,45.0,59.51,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2578,M04757,0.44,40.75,62.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2587,M04775,0.22,29.29,73.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2580,M04761,0.76,82.0,28.000000000000004,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5621,M10784,0.94,98.2,58.4,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2584,M04769,0.56,72.0,42.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2588,M04777,0.03,3.4799999999999995,96.75,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2576,M04753,0.07,11.69,94.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2570,M04741,0.56,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2589,M04779,0.1,16.0,81.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2591,M04783,0.28,22.0,79.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5617,M10780,0.08,3.17,98.2,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2574,M04749,0.63,79.0,21.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5629,M10792,0.66,69.0,32.67,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5635,M10798,0.5,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5636,M10799,0.5,,,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5632,M10795,0.1,18.23,92.43,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2594,M04789,0.03,3.45,96.9,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E5575,M10738,0.11,20.0,92.0,0.0,Polymarket
Gemini 3.1 Pro (Variant A),E2582,M04765,0.28,67.0,34.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E2600,M04801,0.92,97.87,12.0,1.0,Polymarket
Gemini 3.1 Pro (Variant A),E5611,M10774,0.82,75.0,26.0,1.0,Polymarket
